tweet_id,text,intent,reply,confidence,retrieval_score,escalate,escalation_reason,reply_quality_human_0_2,escalation_human,judge_reply_quality_0_2,judge_escalation,human_notes,judge_notes
5814,@AppleSupport ok cool,device_issue_other,"Sorry you're experiencing this issue. Please restart the device, check for software updates, and share the device model and the exact steps that reproduce the problem so we can narrow it down.",0.669411,0.745092,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,1,True,,,"The message gives very little context, so the troubleshooting reply is reasonable but necessarily generic.",
57515,Apps constantly freezing on my 8 Plus today.... anyone else????? @AppleSupport @115858,update_performance_or_crash,"Sorry you're having trouble with the app or media feature. Please restart the affected app/device and check for available app and software updates. If it continues, tell us the app and the exact behavior you're seeing.",0.78,0.225065,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,0,False,,,"The reply addresses a different issue than the customer's message, so the suggested troubleshooting would not be very useful.",
36087,"@AppleSupport No, I haven’t... but I checked it on my MacBook (Mail app), still permanently deleted.",app_or_media_behavior,"Sorry you're having trouble with the app or media feature. Please restart the affected app/device and check for available app and software updates. If it continues, tell us the app and the exact behavior you're seeing.",0.78,0.26313,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,1,True,,,"The response is directionally relevant, but it stays fairly generic and does not address the specific symptom in enough detail.",
33371,@AppleSupport The latest one.,device_issue_other,"Sorry you're experiencing this issue. Please restart the device, check for software updates, and share the device model and the exact steps that reproduce the problem so we can narrow it down.",0.662946,0.691218,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,1,True,,,"The message gives very little context, so the troubleshooting reply is reasonable but necessarily generic.",
5848,@AppleSupport 11.0.3,device_issue_other,"Sorry you're experiencing this issue. Please restart the device, check for software updates, and share the device model and the exact steps that reproduce the problem so we can narrow it down.",0.7,1.0,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,1,True,,,"The message gives very little context, so the troubleshooting reply is reasonable but necessarily generic.",
14315,@115858 there is a bug when we type the capital letter i ... fix it it’s annoying.,app_or_media_behavior,"Sorry about the performance/crash issue. Please make sure your device is updated, restart it, and check whether the problem continues after the restart.",0.704617,0.415391,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,0,False,,,"The reply addresses a different issue than the customer's message, so the suggested troubleshooting would not be very useful.",
53543,@AppleSupport Seems to be working for Now after repairing,device_issue_other,"Sorry you're experiencing this issue. Please restart the device, check for software updates, and share the device model and the exact steps that reproduce the problem so we can narrow it down.",0.663651,0.697094,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,1,False,,,"The response is broadly reasonable, but the customer message does not provide enough detail to justify a more specific answer.",
11107,.@AppleSupport .@115858 haven’t been able to type I️ since the new update https://t.co/BtR51UmAzb,app_or_media_behavior,"Sorry about the performance/crash issue. Please make sure your device is updated, restart it, and check whether the problem continues after the restart.",0.78,0.232684,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,0,False,,,"The reply addresses a different issue than the customer's message, so the suggested troubleshooting would not be very useful.",
31933,Why do my tweets have hashtags and square question marks? I’m updated to the latest iOS 11.1 @115858 fix me. #apple https://t.co/XzauijV1pG,app_or_media_behavior,"Sorry about the performance/crash issue. Please make sure your device is updated, restart it, and check whether the problem continues after the restart.",0.78,0.253758,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,0,False,,,"The reply addresses a different issue than the customer's message, so the suggested troubleshooting would not be very useful.",
26698,"It’s an important letter, @115858. Fix it.",app_or_media_behavior,"Sorry you're experiencing this issue. Please restart the device, check for software updates, and share the device model and the exact steps that reproduce the problem so we can narrow it down.",0.639749,0.497912,False,Auto-handle: intent confidence and historical similarity passed the current thresholds.,0,False,,,"The reply addresses a different issue than the customer's message, so the suggested troubleshooting would not be very useful.",
